ticker,symbol,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume,gap,roll
WIN,WIN$N,D1,2021-06-30,1625011200,127400.0,127835.0,126750.0,126985.0,4248136,5,19711908,,False
WIN,WIN$N,D1,2021-07-01,1625097600,127435.0,127735.0,125485.0,126080.0,4756819,5,21620870,450.0,False
WIN,WIN$N,D1,2021-07-02,1625184000,126300.0,128430.0,126080.0,128420.0,4022540,5,17271363,220.0,False
WIN,WIN$N,D1,2021-07-05,1625443200,128000.0,128235.0,127015.0,127700.0,3607328,5,14128714,-420.0,False
WIN,WIN$N,D1,2021-07-06,1625529600,127525.0,127625.0,125300.0,125360.0,4660318,5,19925231,-175.0,False
WIN,WIN$N,D1,2021-07-07,1625616000,125980.0,127745.0,125670.0,127395.0,4383205,5,19486281,620.0,False
WIN,WIN$N,D1,2021-07-08,1625702400,125680.0,126440.0,124725.0,125700.0,5006730,5,20676648,-1715.0,False
WIN,WIN$N,D1,2021-07-12,1626048000,126550.0,128500.0,126160.0,128500.0,3755903,5,17303921,850.0,False
WIN,WIN$N,D1,2021-07-13,1626134400,128175.0,128990.0,126820.0,128820.0,4577562,5,20670687,-325.0,False
WIN,WIN$N,D1,2021-07-14,1626220800,128930.0,130140.0,128530.0,129000.0,4814009,5,21675259,110.0,False
WIN,WIN$N,D1,2021-07-15,1626307200,128570.0,129485.0,127305.0,128045.0,4767900,5,21129032,-430.0,False
WIN,WIN$N,D1,2021-07-16,1626393600,128145.0,128530.0,126180.0,126455.0,4298524,5,18378380,100.0,False
WIN,WIN$N,D1,2021-07-19,1626652800,124750.0,125190.0,123660.0,125060.0,5378684,5,22219955,-1705.0,False
WIN,WIN$N,D1,2021-07-20,1626739200,125680.0,126060.0,123905.0,125580.0,5038200,5,21960209,620.0,False
WIN,WIN$N,D1,2021-07-21,1626825600,125750.0,126510.0,125530.0,126425.0,4339952,5,18448486,170.0,False
WIN,WIN$N,D1,2021-07-22,1626912000,126450.0,126820.0,125690.0,126575.0,3851995,5,17262828,25.0,False
WIN,WIN$N,D1,2021-07-23,1626998400,126900.0,126945.0,124685.0,124985.0,3564233,5,16028366,325.0,False
WIN,WIN$N,D1,2021-07-26,1627257600,125110.0,126580.0,125015.0,126215.0,3244259,5,15307632,125.0,False
WIN,WIN$N,D1,2021-07-27,1627344000,125865.0,125955.0,123945.0,124765.0,3976271,5,18246810,-350.0,False
WIN,WIN$N,D1,2021-07-28,1627430400,125260.0,127060.0,125240.0,126305.0,4249564,5,19305780,495.0,False
WIN,WIN$N,D1,2021-07-29,1627516800,126415.0,127145.0,125140.0,125490.0,4139979,5,19291308,110.0,False
WIN,WIN$N,D1,2021-07-30,1627603200,124840.0,125245.0,121800.0,122340.0,4405471,5,20658210,-650.0,False
WIN,WIN$N,D1,2021-08-02,1627862400,123695.0,124805.0,121985.0,123180.0,4704272,5,21173113,1355.0,False
WIN,WIN$N,D1,2021-08-03,1627948800,123220.0,124020.0,120955.0,123230.0,5831482,5,22016279,40.0,False
WIN,WIN$N,D1,2021-08-04,1628035200,123230.0,123820.0,121135.0,122020.0,5874961,5,21535442,0.0,False
WIN,WIN$N,D1,2021-08-05,1628121600,123250.0,123800.0,120835.0,121100.0,5421221,5,20283425,1230.0,False
WIN,WIN$N,D1,2021-08-06,1628208000,121520.0,123470.0,121100.0,123070.0,4630735,5,17005303,420.0,False
WIN,WIN$N,D1,2021-08-09,1628467200,122500.0,123790.0,122160.0,123015.0,4634214,5,18340996,-570.0,False
WIN,WIN$N,D1,2021-08-10,1628553600,123285.0,123660.0,122150.0,122450.0,4872326,5,19298498,270.0,False
WIN,WIN$N,D1,2021-08-11,1628640000,122725.0,122900.0,120855.0,122130.0,5123495,5,20083892,275.0,False
WIN,WIN$N,D1,2021-08-12,1628726400,122390.0,122455.0,120370.0,120700.0,4812509,5,19088606,260.0,False
WIN,WIN$N,D1,2021-08-13,1628812800,120890.0,121335.0,119940.0,121195.0,5172695,5,19329100,190.0,False
WIN,WIN$N,D1,2021-08-16,1629072000,120550.0,120760.0,118700.0,119630.0,4898102,5,20537955,-645.0,False
WIN,WIN$N,D1,2021-08-17,1629158400,119315.0,119340.0,116220.0,117150.0,6334671,5,26212646,-315.0,False
WIN,WIN$N,D1,2021-08-18,1629244800,118890.0,119685.0,116470.0,116960.0,5836755,5,23094955,1740.0,True
WIN,WIN$N,D1,2021-08-19,1629331200,115200.0,118415.0,114825.0,118040.0,6279816,5,24927564,-1760.0,False
WIN,WIN$N,D1,2021-08-20,1629417600,117280.0,119160.0,116425.0,118935.0,5178160,5,19632485,-760.0,False
WIN,WIN$N,D1,2021-08-23,1629676800,119300.0,119595.0,117745.0,118060.0,5234321,5,20190189,365.0,False
WIN,WIN$N,D1,2021-08-24,1629763200,118910.0,121275.0,118880.0,121275.0,4424832,5,18753377,850.0,False
WIN,WIN$N,D1,2021-08-25,1629849600,121145.0,121590.0,119845.0,121390.0,4626070,5,18972946,-130.0,False
WIN,WIN$N,D1,2021-08-26,1629936000,121050.0,121560.0,119030.0,119575.0,5069612,5,20805109,-340.0,False
WIN,WIN$N,D1,2021-08-27,1630022400,119985.0,121400.0,119660.0,120850.0,3974375,5,16202875,410.0,False
WIN,WIN$N,D1,2021-08-30,1630281600,121120.0,121200.0,119900.0,120630.0,4091870,5,17298271,270.0,False
WIN,WIN$N,D1,2021-08-31,1630368000,120190.0,120795.0,118415.0,119200.0,5471402,5,21567043,-440.0,False
WIN,WIN$N,D1,2021-09-01,1630454400,119400.0,120615.0,118625.0,119180.0,5144525,5,20338473,200.0,False
WIN,WIN$N,D1,2021-09-02,1630540800,119595.0,119735.0,116920.0,117160.0,5751495,5,22396327,415.0,False
WIN,WIN$N,D1,2021-09-03,1630627200,117665.0,118350.0,116085.0,116855.0,5236082,5,19873990,505.0,False
WIN,WIN$N,D1,2021-09-06,1630886400,117200.0,118585.0,116530.0,118370.0,3748279,5,14006225,345.0,False
WIN,WIN$N,D1,2021-09-08,1631059200,117150.0,117980.0,113570.0,113830.0,5985660,5,23855417,-1220.0,False
WIN,WIN$N,D1,2021-09-09,1631145600,114570.0,117245.0,112815.0,117080.0,7296918,5,25608553,740.0,False
WIN,WIN$N,D1,2021-09-10,1631232000,117250.0,118195.0,114400.0,114680.0,6454987,5,20727954,170.0,False
WIN,WIN$N,D1,2021-09-13,1631491200,115600.0,117585.0,115515.0,116680.0,6364696,5,20527849,920.0,False
WIN,WIN$N,D1,2021-09-14,1631577600,116300.0,117735.0,115980.0,116900.0,5917445,5,19757567,-380.0,False
WIN,WIN$N,D1,2021-09-15,1631664000,116650.0,116980.0,115105.0,115600.0,5292597,5,17525589,-250.0,False
WIN,WIN$N,D1,2021-09-16,1631750400,114845.0,115130.0,113705.0,114410.0,5527127,5,18006376,-755.0,False
WIN,WIN$N,D1,2021-09-17,1631836800,113780.0,114145.0,111205.0,111205.0,5353155,5,18788141,-630.0,False
WIN,WIN$N,D1,2021-09-20,1632096000,109205.0,110165.0,107800.0,109710.0,6609975,5,22258913,-2000.0,False
WIN,WIN$N,D1,2021-09-21,1632182400,110600.0,111190.0,109175.0,110240.0,6811765,5,22975214,890.0,False
WIN,WIN$N,D1,2021-09-22,1632268800,111500.0,113605.0,111500.0,112435.0,5758580,5,19808576,1260.0,False
WIN,WIN$N,D1,2021-09-23,1632355200,112895.0,114640.0,112670.0,114010.0,5253213,5,17790865,460.0,False
WIN,WIN$N,D1,2021-09-24,1632441600,113265.0,113820.0,112655.0,113750.0,5188409,5,17461946,-745.0,False
WIN,WIN$N,D1,2021-09-27,1632700800,114080.0,115115.0,112355.0,113400.0,5344975,5,20373769,330.0,False
WIN,WIN$N,D1,2021-09-28,1632787200,112555.0,113360.0,109980.0,110020.0,6276947,5,22428217,-845.0,False
WIN,WIN$N,D1,2021-09-29,1632873600,110700.0,112195.0,110490.0,111140.0,6008221,5,21559767,680.0,False
WIN,WIN$N,D1,2021-09-30,1632960000,111650.0,112515.0,110460.0,110690.0,6262195,5,22560037,510.0,False
WIN,WIN$N,D1,2021-10-01,1633046400,111050.0,113150.0,110930.0,113120.0,5283108,5,19512943,360.0,False
WIN,WIN$N,D1,2021-10-04,1633305600,112300.0,112420.0,109900.0,110400.0,5707468,5,21195990,-820.0,False
WIN,WIN$N,D1,2021-10-05,1633392000,111070.0,111815.0,110060.0,110300.0,6060619,5,21886869,670.0,False
WIN,WIN$N,D1,2021-10-06,1633478400,109290.0,110790.0,108120.0,110695.0,6662177,5,24490167,-1010.0,False
